spearman,r2,rmse,mae,prediction_sd,observed_sd,sd_ratio,calibration_slope,calibration_intercept,noncognate_spearman,specificity_delta,cohort,target,mode,n_cells,n_donors,passes_hard_gate,passes_exploratory_gate
0.22163639376871475,-0.19636740753970394,0.7066601987277241,0.564636125377838,0.5538250428125714,0.6460681693765813,0.8572238489120749,0.3721819267953339,1.0765596968311164,0.01861367005209221,0.20302272371662253,GSE267552,CD8A,observed,3765,5,False,False
-0.08166712326635045,-0.7637522660468388,0.8580194584290493,0.6759448645297933,0.518573122607368,0.6460681693765813,0.8026600708525252,-0.0838199163653211,1.9026089369373016,0.017309060105399697,-0.09897618337175015,GSE267552,CD8A,label_shuffled,3765,5,False,False
0.02231596301540679,-0.6133533129910733,0.2809740978562943,0.22062391998640962,0.18146944564351591,0.22120836349894335,0.8203552649327508,0.04452066481974573,0.39961030027085165,-0.007008042718469323,0.029324005733876113,GSE267552,CD4,observed,3765,5,False,False
0.014956159714397859,-0.5639720054389301,0.2766406716776891,0.21809161628726603,0.17324635169243605,0.22120836349894335,0.7831817430052259,0.04061632353282494,0.4012276420538271,0.018988669150857326,-0.004032509436459468,GSE267552,CD4,label_shuffled,3765,5,False,False
0.008110331307947787,-0.6264879716356502,0.18100088776269646,0.14398879672898948,0.11205625741617467,0.14192381509204266,0.7895521787058937,-0.002358170279115905,0.16134087097685063,-0.009217013929709097,0.017327345237656885,GSE267552,CD14,observed,3765,5,False,False
0.012821443303282451,-0.6207317711898872,0.18068031950325084,0.14332085438320116,0.11204647353870008,0.14192381509204266,0.789483241174386,0.004627969062527016,0.16025776745273376,-0.00372145277828465,0.0165428960815671,GSE267552,CD14,label_shuffled,3765,5,False,False
0.0415342034962575,-0.48728577926754135,0.2047700689686108,0.16104861260568193,0.13920541578535836,0.16790717850348078,0.8290617293796798,0.1495882116390945,0.16256734656328733,-0.004179333652978241,0.04571353714923574,GSE267552,CD19,observed,3765,5,False,False
-0.013450770798305938,-0.6402207782579259,0.21504057787853934,0.16750629213978227,0.13213107704911897,0.16790717850348078,0.7869292916882636,-0.015983357008979605,0.1963682049368717,-0.0329673339140388,0.01951656311573286,GSE267552,CD19,label_shuffled,3765,5,False,False
0.07965553236873774,-0.5222758998493733,0.3446467775711876,0.24615692812976117,0.24542661548540642,0.27933640289944556,0.8786059136508396,0.16172497146229028,0.2192754319061312,-0.07262073794368468,0.1522762703124224,GSE267552,CD56,observed,3765,5,False,False
0.004414955401093594,-0.703262198251825,0.3645593911475631,0.2564856806208886,0.2300014369680159,0.27933640289944556,0.8233851176597664,-0.018547811644776577,0.2665745140607283,0.014854133332876756,-0.010439177931783162,GSE267552,CD56,label_shuffled,3765,5,False,False
0.13208831329698464,-0.4627156652729947,0.358100894559593,0.27783161446915494,0.24667466075435965,0.29609116558038084,0.833103751241082,0.17001988846992044,0.38609219444334686,0.0504295537715659,0.08165875952541873,GSE267552,HLA-DR,observed,3765,5,False,False
-0.020846273043989127,-0.6825120975248711,0.3840648371537776,0.3006702750922546,0.2392399022795092,0.29609116558038084,0.8079940575415849,-0.022694375521116184,0.4800089471379871,0.04657630897910804,-0.06742258202309717,GSE267552,HLA-DR,label_shuffled,3765,5,False,False
0.48108972800363997,0.2031520793273125,0.534914674719624,0.4252683113057852,0.49681744165530006,0.5992344741811383,0.8290868817823066,0.6487388004251781,0.5846530705221042,-0.02402821422612451,0.5051179422297645,GSE267552,PD-1,observed,3765,5,True,True
0.040209550360472024,-0.6301998809099505,0.7650982684301203,0.6090342420478363,0.5008071794658381,0.5992344741811383,0.8357449396585496,0.052234699023941955,1.5413970689012446,-0.012148473766188262,0.05235802412666028,GSE267552,PD-1,label_shuffled,3765,5,False,False
-0.012928165814881641,-0.6317636583367969,0.3458362909876843,0.26686576152855773,0.2094215931521363,0.2707334618342276,0.7735342049457001,-0.027812042953542733,0.6765433807408494,-0.015932925415822873,0.0030047596009412317,GSE267552,PD-L1,observed,3765,5,False,False
7.12339144714335e-05,-0.5952303610698824,0.3419429388346804,0.2627880175350046,0.2092141349363847,0.2707334618342276,0.7727679228084791,0.0032371068581836266,0.6560623475207651,-0.014883017271417153,0.014954251185888586,GSE267552,PD-L1,label_shuffled,3765,5,False,False
0.0029544077816305216,-0.6238134263131987,0.28478143301375763,0.226033418086823,0.17769036001019112,0.22348254429400513,0.7950972661937679,0.006756386273879917,0.7999259530594893,0.0014857021629682272,0.0014687056186622944,GSE267552,CTLA4,observed,3765,5,False,False
-0.0035619806461666113,-0.6089069451767939,0.28347128359551754,0.22486796930192338,0.17433088171793312,0.22348254429400513,0.7800648693554788,-0.0002373458992686634,0.8055792376142057,-0.02008463583843154,0.016522655192264927,GSE267552,CTLA4,label_shuffled,3765,5,False,False
0.3144091991832096,-0.1713470568228046,0.38039460056994,0.30179253674937173,0.29715190410318404,0.35147266021828527,0.8454481322064572,0.3830698802029225,0.5394167258394718,0.000747777958106118,0.3136614212251035,GSE267552,TIGIT,observed,3765,5,False,False
0.02925593112153106,-0.5521301933813034,0.4378805169337614,0.3463342975727316,0.2730579147488893,0.35147266021828527,0.7768966000920362,0.04347406160341402,0.823328396158588,0.00045268251559167367,0.028803248605939386,GSE267552,TIGIT,label_shuffled,3765,5,False,False
0.4861850331196794,0.21181233612170103,0.9729376195288104,0.7803242562291899,0.9083591917114471,1.095898113798078,0.8288719364278553,0.6600721454300283,0.4027900057531547,-0.0017619321803909274,0.48794696530007037,GSE267552,CD103,observed,3765,5,True,True
0.003511278286964302,-0.6584325594504603,1.4112991735460194,1.166529499667059,0.9027326487291917,1.095898113798078,0.8237377520439116,0.015599630411233592,0.9769352514421783,-0.00838143607519254,0.011892714362156843,GSE267552,CD103,label_shuffled,3765,5,False,False
