feature,converged,duplicated,mean_clr,sd_clr,cv,donor_mean_sd,donor_mean_cv,specificity,frac_signal_top_cluster,frac_donor,frac_rep,frac_concentration
Hu.CD267,True,False,-0.3343240655377362,0.4707866210602377,1.4081744917255996,0.009970388575101137,0.02973425348165005,,,0.345968500563916,0.211814809679118,0.0025805851583358
Hu.CD268,False,False,-0.7862240268602139,0.13906152335028704,0.17687264519965043,0.013683622277809112,0.017377676062324855,,,0.2537364612154525,0.3030151735113653,0.1310608124983827
Hu.CD269,True,False,1.162953509953446,0.4361285306527659,0.37501802687729496,0.010797258411149653,0.009278719065245116,1.481829158804576,0.018997809728263794,0.0028403334220891,0.0544855049177725,0.0059853959706775
Hu.CD27,True,False,-0.771133738689419,0.1700923870577144,0.2205744328432511,0.008936311773549963,0.011576591560233837,,,9.5442965498803e-06,0.3249856687067793,0.0021812632088782
Hu.CD270,True,False,-0.07759353527632289,0.5214027335731197,6.719667195421911,0.007673607106588439,0.09797156053588353,,,0.343640642341564,0.20044194455338,0.010933917719003
Hu.CD271,True,False,1.9855656239973207,0.31221780677630234,0.1572437611745859,0.019272923215398866,0.009714866796969328,1.2855618234774733,0.016481561839454786,0.0051150756858515,0.104766494617616,0.001523940947278
Hu.CD272,False,False,-0.2942618471520751,0.48629322903957484,1.6525867479797935,0.012095624164549698,0.040952507304010344,,,0.3461414796288781,0.2147833717535439,0.0017814660013457
Hu.CD273,True,False,-0.018994511215910462,0.5555644357111709,29.24868291666336,0.02701875586790215,1.257746790153367,,,0.0012786154273774,0.002762628533281,0.0006671256146874
Hu.CD274,True,False,0.6821141413028979,0.5127986025228108,0.7517782896911072,0.006208578460887757,0.009096351137499115,1.911353290594423,0.024504529366595168,0.3378147007473153,0.1950799011300057,0.0224788927143885
Hu.CD275_B7.RP1,True,False,0.6371995087921543,0.5249626016313841,0.8238590808496993,0.030047040189245065,0.046953670762026035,2.333026463774472,0.02991059568941631,0.0015807056310672,0.0238676241787763,0.0066048078424463
Hu.CD276,True,False,0.06984969253909783,0.5532172950066195,7.920110667587555,0.020805794676681845,0.30464757166291395,13.242445027518658,0.16977493625023918,0.3466480088784385,0.2149795476495841,0.0011342205711272
Hu.CD279,True,False,0.6497699400342629,0.492259943750552,0.7575911309849063,0.022713403851861186,0.03487971694576049,1.7455034939743808,0.02237824992274847,0.3444444237813807,0.2216616800130584,0.0007538298204227
Hu.CD28,True,False,-0.24695036612320784,0.5092411383788734,2.0621193901158428,0.01687322686780478,0.06826108177947032,,,0.3434046352223768,0.2043733691069409,0.0057504552773183
Hu.CD284,True,False,1.2571607166083973,0.3994488604584961,0.3177388978046818,0.006100007675060558,0.004852465162751615,1.3087794874046974,0.016779224197496122,0.0110827682723097,0.0620851266595456,0.0029548326497693
Hu.CD29,True,False,-0.32353669508586613,0.5097984260474343,1.575705117195855,0.06363536831858066,0.19970302249897162,,,0.0292410756108991,0.0083589060212616,0.0565924784825229
Hu.CD294,True,False,1.6556845301495144,0.3834184747229469,0.23157701104347625,0.017932387287289506,0.010838256012311533,1.1386160574116169,0.014597641761687395,0.0015126953535763,0.0515579581927479,0.0013873633529349
Hu.CD30,False,False,0.43606245989383274,0.5139867730600725,1.1786998889682267,0.008659219145105345,0.019817006789287748,2.023566794224549,0.025943164028519858,1.44763748731695e-05,0.0250946400927823,0.0005420830744942
Hu.CD301,True,False,-0.5787705614103661,0.36613598681167714,0.6326098997147774,0.014463887368738798,0.024939121289083734,,,8.213278419429605e-05,0.0299873509042004,0.0017015974107996
Hu.CD303,False,False,0.6532589644378446,0.49229105922324956,0.7535925046920492,0.016304366026023094,0.025024575857202414,2.144054327312281,0.027487875991183085,,,
Hu.CD304,True,False,-0.47776107229733333,0.41833433034566914,0.8756140979299374,0.013777263921146797,0.02876817498660237,,,0.0040769125911153,0.015963162328705,0.0017091014729937
Hu.CD305_LAIR1,True,False,-0.4293579341428107,0.4509845301853103,1.0503696201298245,0.01315220430766841,0.03072595438989911,,,0.3207597434996432,0.174530777550268,0.0311763720358661
Hu.CD307c,False,False,0.21349589142439965,0.5319667347232979,2.4916954194018808,0.010157315685749353,0.04743448512243392,2.856987533254418,0.036628045298133564,0.2436805271513108,0.0825843227207634,0.2963815634549248
Hu.CD307d,True,False,0.9002109244732497,0.4655759835095917,0.5171854404922038,0.00979345106765754,0.01089175697731338,1.3898686476929174,0.017818828816575864,0.0056540197990112,0.0325084616683823,0.0007553827293043
Hu.CD307e,True,False,-0.03850174916635102,0.536999571206943,13.94740713952443,0.015628221087301598,0.39249377704694083,,,0.3401918098989019,0.1927472837288001,0.0230821860281064
Hu.CD309,True,False,0.40274679672773817,0.5145739460837611,1.2776611763634198,0.023321391161257466,0.05822622058989669,2.722244847395684,0.034900574966611336,0.3412101705538189,0.2009016740104654,0.0124869558065451
Hu.CD31,True,False,-0.7836757901486266,0.14527475373750812,0.1853760899133509,0.012779264905538634,0.01628401168055188,,,0.230985051738013,0.3877263833064432,0.0134842862337834
Hu.CD314,False,False,-0.15660569465246266,0.5206076027394917,3.324321020987247,0.01273995095323422,0.08143624398419161,,,0.3399838337070847,0.195062645829039,0.0135827611951017
Hu.CD317,True,False,-0.37677266880154536,0.4538383547497974,1.2045416038094956,0.00811537002020651,0.02152441228377495,,,0.3458258335812647,0.211714690090171,0.002748355848644
Hu.CD319,False,False,0.419718240084373,0.5553799538768174,1.3232209154531223,0.008963146796617437,0.021371010398211283,2.7631943829432353,0.03542556901209276,0.3441602359465818,0.2123391200195417,0.0052876617529591
Hu.CD32,True,False,-0.7855276371129888,0.1405068260988193,0.17886936049152533,0.013421019253652458,0.017060197897368297,,,0.0001062472743257,0.4784469790052776,0.011000261261822
Hu.CD321,True,False,-0.7868243357689634,0.13767670313788963,0.1749776880036866,0.013681237438498774,0.017361448296181928,,,4.4082111878044957e-07,0.4974136744611731,0.0118199111877974
Hu.CD324,True,False,0.7259642721192773,0.4789557413845608,0.6597511196885285,0.019993222599960683,0.027465363784026,2.0246945504639995,0.02595762244184615,0.0056117254092564,0.0367411131053994,0.0014106749336267
Hu.CD325,True,False,-0.7859936750046776,0.13958833630146017,0.17759473229937817,0.01355497218936074,0.017219526621734718,,,0.2373547542864897,0.2891616902803208,0.105690966077943
Hu.CD326,True,False,0.7660408150399428,0.48882417847371235,0.638117667983819,0.0230303102247487,0.030144035103326826,1.9180719960787433,0.024590666616394145,0.0004864936592865,0.0307629839307795,0.0010438744949536
Hu.CD328,False,False,-0.7860281672438068,0.13900420150561363,0.1768437917346261,0.013554778001883936,0.01721865018898958,,,0.2377952027169337,0.2905726433893197,0.106322431004323
Hu.CD33,True,False,-0.7848640679276846,0.14164006538920584,0.18046445388076576,0.013759806884894882,0.017503991915536823,,,0.0005144021888524,0.4737065987222403,0.0103369793987951
Hu.CD335,False,False,-0.10040965535675074,0.5427559505646761,5.405415929735939,0.016883483649373265,0.16511952201931882,,,0.3383141155235465,0.2122748268119781,0.0011577852338709
