cohort,held_out_donor,target,reconstructed_spearman,legacy_spearman,absolute_difference
GSE199219,CID4664,CD103,0.12919515293732733,0.1291951529373273,2.7755575615628914e-17
GSE267552,BC07,CD8A,0.42868739059138705,0.428687390591387,5.551115123125783e-17
GSE267552,BC08,CD8A,0.28814091726445606,0.288140917264456,5.551115123125783e-17
GSE267552,BC09,CD8A,0.5706902309579746,0.5706902309579746,0.0
GSE267552,BC10,CD8A,0.2788083187915186,0.2788083187915186,0.0
GSE267552,BC12,CD8A,0.29267214423234966,0.2926721442323496,5.551115123125783e-17
GSE267552,BC07,CD4,-0.03489631425176231,-0.0348963142517623,6.938893903907228e-18
GSE267552,BC08,CD4,0.046779141437486696,0.0467791414374866,9.71445146547012e-17
GSE267552,BC09,CD4,0.19502910573020968,0.1950291057302096,8.326672684688674e-17
GSE267552,BC10,CD4,0.02932558536975415,0.0293255853697541,4.85722573273506e-17
GSE267552,BC12,CD4,0.027139209158869124,0.0271392091588691,2.42861286636753e-17
GSE267552,BC07,CD14,0.06230663382554819,0.0623066338255481,9.020562075079397e-17
GSE267552,BC08,CD14,0.01873169568557128,0.0187316956855712,7.979727989493313e-17
GSE267552,BC09,CD14,0.065035419493835,0.065035419493835,0.0
GSE267552,BC10,CD14,0.008562422593070124,0.0085624225930701,2.42861286636753e-17
GSE267552,BC12,CD14,-0.01735160484524834,-0.0173516048452483,3.8163916471489756e-17
GSE267552,BC07,CD19,0.016482640852138523,0.0164826408521385,2.42861286636753e-17
GSE267552,BC08,CD19,0.02865623182741893,0.0286562318274189,2.7755575615628914e-17
GSE267552,BC09,CD19,0.20812724514812286,0.2081272451481228,5.551115123125783e-17
GSE267552,BC10,CD19,0.08051614007439883,0.0805161400743988,2.7755575615628914e-17
GSE267552,BC12,CD19,0.032722640294437326,0.0327226402944373,2.7755575615628914e-17
GSE267552,BC07,CD56,0.13813162125624212,0.1381316212562421,2.7755575615628914e-17
GSE267552,BC08,CD56,0.048529641738073837,0.0485296417380738,3.469446951953614e-17
GSE267552,BC09,CD56,0.10266946602179476,0.1026694660217947,5.551115123125783e-17
GSE267552,BC10,CD56,0.08949067103469041,0.0894906710346904,1.3877787807814457e-17
GSE267552,BC12,CD56,0.0389349949050349,0.0389349949050349,0.0
GSE267552,BC07,HLA-DR,0.12344999422960891,0.1234499942296089,1.3877787807814457e-17
GSE267552,BC08,HLA-DR,0.12725967656805737,0.1272596765680573,5.551115123125783e-17
GSE267552,BC09,HLA-DR,0.018702237223747097,0.018702237223747,9.71445146547012e-17
GSE267552,BC10,HLA-DR,0.15861279284799126,0.1586127928479912,5.551115123125783e-17
GSE267552,BC12,HLA-DR,0.08728544300655926,0.0872854430065592,5.551115123125783e-17
GSE267552,BC07,PD-1,0.3363773617101006,0.3363773617101006,0.0
GSE267552,BC08,PD-1,0.4633328849641703,0.4633328849641703,0.0
GSE267552,BC09,PD-1,0.3518755209780495,0.3518755209780495,0.0
GSE267552,BC10,PD-1,0.6654217649427727,0.6654217649427727,0.0
GSE267552,BC12,PD-1,0.301367759397003,0.301367759397003,0.0
GSE267552,BC07,PD-L1,0.041248978473687144,0.0412489784736871,4.163336342344337e-17
GSE267552,BC08,PD-L1,-0.04388686611598618,-0.0438868661159861,8.326672684688674e-17
GSE267552,BC09,PD-L1,-0.006557377049180329,-0.0065573770491803,2.862293735361732e-17
GSE267552,BC10,PD-L1,-0.008689919708729496,-0.0086899197087294,9.540979117872439e-17
GSE267552,BC12,PD-L1,0.0261145791619602,0.0261145791619602,0.0
GSE267552,BC07,CTLA4,-0.009235292804547107,-0.0092352928045471,6.938893903907228e-18
GSE267552,BC08,CTLA4,-0.01623979020216703,-0.016239790202167,3.122502256758253e-17
GSE267552,BC09,CTLA4,0.05857182550708532,0.0585718255070853,2.0816681711721685e-17
GSE267552,BC10,CTLA4,0.038429639022956576,0.0384296390229565,7.632783294297951e-17
GSE267552,BC12,CTLA4,-0.004123589838035869,-0.0041235898380358,6.938893903907228e-17
GSE267552,BC07,TIGIT,0.3364630997937094,0.3364630997937094,0.0
GSE267552,BC08,TIGIT,0.26184657724910393,0.2618465772491039,5.551115123125783e-17
GSE267552,BC09,TIGIT,0.367940649391571,0.367940649391571,0.0
GSE267552,BC10,TIGIT,0.32757894933567616,0.3275789493356761,5.551115123125783e-17
GSE267552,BC12,TIGIT,0.35971976339092493,0.3597197633909249,5.551115123125783e-17
GSE267552,BC07,CD103,0.5494689581413426,0.5494689581413426,0.0
GSE267552,BC08,CD103,0.29141192621464357,0.2914119262146435,5.551115123125783e-17
GSE267552,BC09,CD103,0.44409644229928746,0.4440964422992874,5.551115123125783e-17
GSE267552,BC10,CD103,0.5376542397679749,0.5376542397679749,0.0
GSE267552,BC12,CD103,0.614788931355051,0.614788931355051,0.0
