feature,donor,cell_type,concentration,rep,residual,frac_donor,frac_cell_type,frac_concentration,frac_rep,frac_residual,converged,error
Hu.CD15_W6D3,5.043596644279209e-06,0.0021542449579113948,0.0010283652616467132,0.00076214017112846,0.3003040596542487,1.6576935949743864e-05,0.007080419630277425,0.003379958049301026,0.0025049482923765517,0.9870180970920952,True,
Hu.CD16,2.5660753870954054e-05,0.002291097855976588,0.000219215112949876,0.01017002424804229,0.010872875718228984,0.001088294301472531,0.09716740019854107,0.009297098573945263,0.43131934044657844,0.4611278664794627,True,
Hu.CD161,0.10818528913074742,0.009707642133374397,0.0004455545764045759,2.648950811974845e-05,0.2823727566277635,0.2699653177083809,0.02422442749650003,0.0011118358488658724,6.610185666596479e-05,0.7046323170895872,False,
Hu.CD162,6.440891611079312e-09,0.001936232450710412,0.000209776685754539,0.01017081038613448,0.011427408478064323,2.712612877426341e-07,0.08154537285572637,0.008834847308759877,0.4283486339039129,0.48127087467031304,True,
Hu.CD163,0.21316547274249303,0.00041559290279797597,0.0012238858245512143,0.13329773587858082,0.26927031869778695,0.3452782526201635,0.0006731633853892036,0.001982409034028299,0.21591118266127035,0.43615499229914856,True,
Hu.CD164,0.004646844568352324,0.014988457201269345,0.009893398952087665,0.0028328534672486384,0.2902935065197782,0.01440189581451219,0.0464535010495297,0.030662463283098886,0.008779820347544098,0.8997023195053151,True,
Hu.CD169,0.08426689215267126,0.005277852800307417,0.02958877464481608,0.04833908348409622,0.11724337167376525,0.2959682617913844,0.018537255610040427,0.10392383030214311,0.16978001858020403,0.411790633716228,True,
Hu.CD171,0.2094625847489588,0.00410402795951099,0.009222511119213794,0.12405505078000734,0.27020324786066297,0.3394594598759569,0.006651073823619239,0.014946195030393768,0.2010462182691796,0.4378970530008505,True,
Hu.CD172a,0.1633766812152961,0.011485469066684437,0.027171288497976,0.08546202748320175,0.21995240592367862,0.3219575648454834,0.022633790968889133,0.05354498459296291,0.16841538248038124,0.4334482771122833,True,
Hu.CD177,0.0002193904229098647,0.0005287679585068202,0.0003899120070611828,0.006724458261207728,0.16633412727889899,0.0012594410710146367,0.0030354656103363962,0.0022383438131041685,0.038602682843490145,0.9548640666620547,True,
