source_cohort,held_out_donor,training_donors,n_training_cells,n_test_cells,target,model,scaler,seed,top_variable_genes,locked_genes,selected_features_ref,scaler_scale_ref,fold_seed,prediction_file,spearman,pearson,rmse,calibration_slope
GSE199219,CID4040,CID3838;CID4497;CID4513;CID4660;CID4664,5190,1957,CD8A,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4040,GSE199219::CID4040,20260820,B2_oof_predictions_GSE199219.npy,0.4644552637209892,0.48243450817854466,0.876056386788565,0.2279885363451203
GSE199219,CID4040,CID3838;CID4497;CID4513;CID4660;CID4664,5190,1957,CD4,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4040,GSE199219::CID4040,20260820,B2_oof_predictions_GSE199219.npy,0.3313348921224849,0.32927689664869336,1.3496515162297098,0.16518678413738963
GSE199219,CID4040,CID3838;CID4497;CID4513;CID4660;CID4664,5190,1957,CD14,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4040,GSE199219::CID4040,20260820,B2_oof_predictions_GSE199219.npy,-0.017238944684423985,-0.025209165503649485,2.8205189907961863,-0.04499807672347549
GSE199219,CID4040,CID3838;CID4497;CID4513;CID4660;CID4664,5190,1957,CD19,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4040,GSE199219::CID4040,20260820,B2_oof_predictions_GSE199219.npy,0.07144881237443375,0.06945964207161144,2.75565536465286,0.13116659845388204
GSE199219,CID4040,CID3838;CID4497;CID4513;CID4660;CID4664,5190,1957,CD56,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4040,GSE199219::CID4040,20260820,B2_oof_predictions_GSE199219.npy,0.010854978411880333,0.011654606291372218,1.6045991122218395,0.024062433026523465
GSE199219,CID4040,CID3838;CID4497;CID4513;CID4660;CID4664,5190,1957,HLA-DR,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4040,GSE199219::CID4040,20260820,B2_oof_predictions_GSE199219.npy,0.05804928334333335,0.060931127407937366,0.9746444558700516,0.06529984814235508
GSE199219,CID4040,CID3838;CID4497;CID4513;CID4660;CID4664,5190,1957,PD-1,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4040,GSE199219::CID4040,20260820,B2_oof_predictions_GSE199219.npy,0.03965431362488589,0.05209766370888765,0.737698187645323,0.042464505198025845
GSE199219,CID4040,CID3838;CID4497;CID4513;CID4660;CID4664,5190,1957,PD-L1,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4040,GSE199219::CID4040,20260820,B2_oof_predictions_GSE199219.npy,-0.017527713823112266,-0.02699324893974065,0.838637663494435,-0.04115652218111773
GSE199219,CID4040,CID3838;CID4497;CID4513;CID4660;CID4664,5190,1957,CTLA4,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4040,GSE199219::CID4040,20260820,B2_oof_predictions_GSE199219.npy,0.05953012807323614,0.06407120649048566,2.037299981663566,0.09396017648271317
GSE199219,CID4040,CID3838;CID4497;CID4513;CID4660;CID4664,5190,1957,TIGIT,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4040,GSE199219::CID4040,20260820,B2_oof_predictions_GSE199219.npy,0.015453661184683219,0.027176781022502292,1.2807765469125778,0.05064037589034726
