cohort,target,pooled,within_ct_median,within_ct_min,ct_adjusted,ct_baseline,donor_median,donor_p10,donor_min,donor_n,n_cells
GSE334503,CD27,0.6020045590900395,0.4249617463182376,0.2352372905277338,0.39719865755130396,0.7323599175854162,0.553844408381153,0.38380102628106916,0.34997066526811554,30,272929
GSE334503,CD183 (CXCR3),0.08082718103016576,0.09786443176962167,-0.03309339706528644,0.14095706109157316,0.4541980277845032,0.06743734706949243,-0.02132805080903077,-0.08377909576031851,30,272929
GSE334503,CD154,0.02031341352650054,-0.020091133481511425,-0.061135820985201185,0.02012131929809113,0.23058374908488283,0.018083929301659925,-0.017806507258106292,-0.04213394881871802,30,272929
GSE334503,CD141 (Thrombomodulin),0.13532376045959071,0.046320041166325085,0.006263185796899836,0.05003332507642501,0.49765664434358925,0.12458060219204031,0.10184756726688333,0.07786085111622733,30,272929
GSE334503,CD161,0.6292040795875145,0.3981753438526008,0.2269167356652994,0.41193401853353584,0.3882581194415001,0.609304356516059,0.5460037762486841,0.4418420497867495,30,272929
GSE334503,CD69,-0.25347963696026515,-0.07583323750126982,-0.36521970906612805,-0.07237337466041259,0.37925487641291755,-0.2420402165416195,-0.2906830493374281,-0.38279296002745467,30,272929
GSE334503,CD127 (IL-7Rα),0.7279947447422015,0.47744800718190417,0.34258340953666766,0.4607702558737578,0.5753009622418778,0.7177965008646927,0.5002760841853614,0.45492662588418725,30,272929
GSE334503,CD274 (B7-H1; PD-L1),0.0038434169802998006,-0.0042025372249551675,-0.025069399923463815,0.005073317791987403,0.14241327436322673,0.005668549227297777,-0.00761446517417598,-0.016407277719452485,30,272929
GSE334503,CD33,0.3323628297931759,0.07456917439966812,0.020407205589466588,0.10625415840603718,0.5931869406496278,0.32401287571038817,0.11781307699174771,0.002264982590889581,30,272929
GSE334503,CD11c,0.49177479000283014,0.33838073912762795,0.05719505929372907,0.22782472268890497,0.6822978012597903,0.461846284485176,0.4098359439061003,0.3823835875821519,30,272929
GSE334503,CD45RA,0.09875460464515268,0.06879482696864148,-0.03959729555226317,0.07452765625377529,0.5447869392866405,0.09036127763401505,0.02361304748899124,-0.003994970949684628,30,272929
GSE334503,CD244 (2B4),0.32396594547169055,0.19449640986071232,0.03671406754177532,0.16511162704266122,0.7323892718996678,0.2939399440966748,0.16947376314517554,0.1506863205929542,30,272929
GSE334503,CD226 (DNAM-1),0.1724730934722643,0.12791445207660568,-0.013027328855918886,0.150146112413946,0.39456467682201374,0.15022806392141952,0.06940066530809001,0.032971664541998874,30,272929
GSE334503,CD28,0.42812427906568556,0.27089136905563094,0.15360930729495656,0.22498386711137616,0.6097952427853659,0.3937747890538146,0.2869880149766761,0.20724649982806595,30,272929
GSE334503,CD45,0.13745059112266747,0.11352293862698652,0.01538111334437852,0.11051989477963904,0.5308051796790785,0.12215030038102617,0.07811038387767985,0.043768335799250824,30,272929
GSE334503,CD38,0.34912726112909326,0.24106114059502898,0.06255990912843286,0.3101970282430504,0.39630056573322636,0.3110758275664276,0.2504842816382183,0.20241099932092388,30,272929
GSE334503,CD4,0.5887939393161179,0.3106922186959774,0.06356721962191574,0.2624511167309417,0.7226684210379829,0.5544312498102015,0.47072890228066305,0.4358241432685875,30,272929
GSE334503,CD20,0.5531142443749856,0.1619748293574187,0.029900154821433534,0.11545540419715845,0.4454491893689604,0.5287140363234621,0.4274585042749799,0.2628154891611837,30,272929
GSE334503,TIGIT (VSTM3),0.3094502047086348,0.192073059658744,0.07110002113532812,0.2600891685206015,0.2844166592758288,0.30189750681670846,0.20366094420326,0.1349587753136063,30,272929
GSE334503,CD25,0.17671612555801047,0.13298281450448068,0.06954758230575091,0.1500572062420872,0.2434643809813699,0.1656503361552633,0.09800393414563709,0.05139634140457668,30,272929
