spearman,r2,rmse,prediction_observed_sd_ratio,calibration_slope,source,target,control,n_cells,n_participants,participant_id
0.028608650000190236,-11.769590377807617,1.9150614720131978,0.10310974502973877,0.35768003033393037,GSE334503,CD57 Recombinant,cognate,4619,,HS46
0.0623120779568396,-13.43515682220459,1.884834817989942,0.18858014052302227,0.4332332454978777,GSE334503,CD57 Recombinant,cognate,4185,,HS47
0.060403806248138674,-6.937489986419678,1.5993100586109683,0.16035122217304726,0.6667191832627537,GSE334503,CD57 Recombinant,cognate,4761,,HS6
0.03788906670544615,-16.30422019958496,1.8216801691325621,0.10488482974441211,0.5616898054025051,GSE334503,CD57 Recombinant,cognate,5350,,HS68
0.11279237537686648,-6.8808441162109375,1.9162367324718175,0.18101234846033915,0.8767292577282493,GSE334503,CD57 Recombinant,cognate,4783,,HS75
0.13606001305809468,-5.805438041687012,1.9640197846373701,0.23825413571800616,0.7494026880431295,GSE334503,CD57 Recombinant,cognate,4613,,HS86
0.07529231529942593,-12.553168296813965,1.9049755276086788,0.18155651945738593,0.6351538529661862,GSE334503,CD57 Recombinant,cognate,5422,,HS88
0.07568596817575635,-9.095267295837402,1.9093410257916201,0.16253433487909927,0.7092311945989341,GSE334503,CD57 Recombinant,cognate,3835,,HS93
0.06864646007819669,-6.3094658851623535,1.7975810115210267,0.11751524846130344,0.8542577788897183,GSE334503,CD57 Recombinant,cognate,5077,,HS94
0.49997051168375095,0.19704222679138184,0.9623066212483901,0.32890776296500873,1.4678532918405873,GSE334503,CD16,cognate,84177,17.0,
-0.0908027365960421,-1.703249216079712,0.9112150721403648,0.6373285470182539,-0.11893089135302151,GSE334503,CD16,noncognate,84177,17.0,
0.6455069683923719,0.22541111707687378,1.1673312281265171,0.31491286049131245,1.6520703754092614,GSE334503,CD16,cognate,5577,,HS10
0.41072852807580457,0.1368679404258728,0.9516980480246624,0.23235482093099682,1.8774617470716277,GSE334503,CD16,cognate,5436,,HS12
0.6434978064850848,0.2556339502334595,1.1733773329099906,0.4700055712103411,1.078990922154585,GSE334503,CD16,cognate,4385,,HS16
0.35845262802073496,0.07428818941116333,0.81485838835781,0.3147142800840593,1.4751645799064301,GSE334503,CD16,cognate,6170,,HS22
0.5940495334007114,0.17016279697418213,1.2006867212081829,0.24147878482783058,2.094021275784442,GSE334503,CD16,cognate,4705,,HS24
