cohort,target,pooled,within_ct_median,within_ct_min,ct_adjusted,ct_baseline,donor_median,donor_p10,donor_min,donor_n,n_cells
GSE334503,CD25,0.1767161255580104,0.1329828145044806,0.0695475823057509,0.1500572062420872,0.2434643809813699,0.1656503361552633,0.098003934145637,0.0513963414045766,30,272929
GSE335494,CD21,0.0824474942122351,0.0440606409593562,0.0062733365447733,0.0362923930854952,0.3477109411336604,0.0801274054071526,0.0251796167774777,0.0143760507447367,10,126668
GSE335494,CD57,0.1030101063002613,0.0614060453724533,0.023502049536336,0.0728208848119622,0.3761045678552093,0.0956278819425277,0.0839553008224712,0.081165612121827,10,126668
GSE335494,CD16,0.4266637412898537,0.2540867002337017,0.1276788249016444,0.2949335491896819,0.4333065786724978,0.4030438371498887,0.2869895377687996,0.2789777990112548,10,126668
GSE335494,HLA-DR,0.8203652190747588,0.4859295232281514,0.3259860544310754,0.3545774365115715,0.7352053783716118,0.822378698676528,0.7099304909418468,0.6978878367452506,10,126668
GSE335494,CXCR5,0.7537608550334657,0.7872820391676933,0.6760298514935333,0.7662093915252174,0.2488399528214707,0.7723505122239434,0.6985316680586168,0.6746665348057705,10,126668
GSE335494,CD279_(PD-1),0.0903179960258224,0.038095586590342,0.0021948565440881,0.0697242831231613,0.2032293643163943,0.0851832115578858,0.0493633199455392,0.0391988883268232,10,126668
GSE335494,CCR4,0.7026180801888438,0.6775191529956859,0.6071057735658418,0.7104352932247687,0.3128471278851443,0.7902325911332118,0.6167621087058541,0.4004692777553817,10,126668
GSE335494,SLAMF7_(CD319),0.6792017714124191,0.6940999611665521,0.6277293208738404,0.713937427423459,0.2342010563643214,0.7168789752856494,0.5936950659566439,0.5293496112528291,10,126668
GSE335494,CD155,0.0118970355004919,0.0005736859910805,-0.0261774690138943,-0.0024782227407138,0.1852466588852869,0.0089663001257013,-0.0055991776109812,-0.0189839012892277,10,126668
GSE335494,CD79B,0.7853325817371118,0.8287940196193928,0.7122622889892515,0.7621999098308576,0.1903868144074199,0.8009412648143128,0.6912960273798204,0.6659421557942532,10,126668
GSE335494,CD107a,-0.0208789237480099,-0.0006527573490326,-0.0692296041518222,-0.0033775188225297,0.1924974702901345,-0.0175160713931259,-0.0340922841265382,-0.0476084274314338,10,126668
GSE335494,4-1BB,0.0135499662191089,-0.0019838004832351,-0.0315057264965577,0.0185600162016967,0.081783595146299,0.0191809030629637,0.0020751960567101,-0.0004706471232135,10,126668
GSE335494,LAG3,0.6756056129615745,0.7100206626130973,0.6317682542620742,0.7244475867115636,0.187864521997514,0.7087868453242749,0.5386611939338115,0.1250501923759555,10,126668
GSE335494,NKG2D_(CD314),0.3235122783942918,0.0797971815390261,0.026030944836518,0.0387146030864087,0.4346371351933172,0.2823808477325654,0.2011656343598976,0.1557047943354385,10,126668
GSE335494,CD3,0.7299677890560813,0.3646114310407332,0.0608824911034259,0.269291099043202,0.7077319970817432,0.6877845356252215,0.6346264192734735,0.633252816608033,10,126668
GSE335494,CD45RO,0.0572827884716485,0.0587692151586595,-0.0405487355589025,0.0653402994571125,0.4106550327391221,0.0259222668362892,-0.0380459489346113,-0.0714557512863233,10,126668
GSE335494,CD19,0.7327689471428328,0.750424548669332,0.6392504848179406,0.6479659962122087,0.3552570135522788,0.7194679437105929,0.6251170151348844,0.4949648772374395,10,126668
GSE335494,CD123,0.2528119552419076,0.0681814906144735,0.0409555720773094,0.0546824572079304,0.4084982891626937,0.2254605580966434,0.089669765923636,-0.000637425876991,10,126668
GSE335494,CD11B,0.369531259114369,0.1582292153587681,-0.0671385799927596,0.0698848875035025,0.7569227403108336,0.3286135010520266,0.2770122161109644,0.2664909564217899,10,126668
GSE335494,CD103,-0.0040298809975491,-0.0015909583013913,-0.0778604650822597,0.0075199247486779,0.1440310450443489,-0.0195000955812108,-0.0309465986291535,-0.0314361376538176,10,126668
GSE335494,CD303_(BDCA-2),0.0631409301381888,0.1759219221226341,0.0229504449684667,0.0507029370659905,0.1286199803074374,0.0610109722876313,0.0377002963116437,0.0278725068204213,10,126668
GSE335494,BDCA1-CD1c,0.1453619147389414,0.0149939456930612,-0.004514020771154,0.0727886377047755,0.2997879876193819,0.1275211492066882,0.0983810123792991,0.0728100374743376,10,126668
GSE335494,CCR6,0.7468850767503977,0.7740624449378558,0.6715297794350205,0.7627343230928093,0.2285388667543298,0.7625070236804399,0.7208617417015497,0.696485933875897,10,126668
GSE335494,CD27,0.8252577202140114,0.7927918172716969,0.7236847334694664,0.7019999736551825,0.5813956222813713,0.8685207883082326,0.6577683123160885,0.6064588988994977,10,126668
GSE335494,CXCR3,0.7856480745001263,0.8213026708236388,0.7531140875156241,0.8201850850349016,0.222397557918221,0.7129230135315363,0.4618464758608012,-0.4026799507526081,10,126668
GSE335494,CD40L_(CD154),-0.0394406528844614,-0.0222200125078842,-0.0580286963307535,-0.0112609078056286,0.2692669256097473,-0.0381817294740352,-0.0811677127340305,-0.0896301890694716,10,126668
GSE335494,CD141_(Thrombomodulin),0.3526169455894943,0.1066774466777774,0.0323610120144147,0.1112351389603749,0.3499941118034637,0.3442864022645379,0.1666595005449032,0.1227575523670651,10,126668
GSE335494,CD161,0.3808004561905332,0.1043600207887661,0.0470739631036139,0.1697998427633199,0.3914617070342519,0.4026246300615527,0.2010801456927681,0.1290574684176223,10,126668
GSE335494,CD69,0.7805116481094556,0.7508335414136811,0.5468708763817964,0.5411347155270873,0.476457725454781,0.8566711125425952,0.6219601793535344,0.3936516224398886,10,126668
GSE335494,CD127,0.5306454295359636,0.2088042667213972,0.1314503604313209,0.1877677174085829,0.4807800654933604,0.4893798969289712,0.3341254504105831,0.2712758680349853,10,126668
GSE335494,CD274_(B7-H1+PD-L1),0.7215671589284848,0.759799667077543,0.5994242878826648,0.736031587457504,0.154898713167371,0.7089229109235184,0.6368946021189995,0.571977997112886,10,126668
