"analysis","target","observed_pooled_spearman","shuffled_pooled_spearman","delta_observed_minus_shuffled","observed_donor_median","shuffled_donor_median","observed_directional_flag","shuffled_directional_flag","superiority_gate"
"BC-to-HCC","CD103",0.0121134420376943,-0.019820439823167,0.0319338818608613,0.0091919178245825,-0.018897079628414,"False","False","True"
"BC-to-BTC (partial)","CD103",0.158645816467987,0.0193380500313459,0.139307766436641,0.107564776652692,-0.0159742297845124,"True","False","True"
"BTC-to-BC (partial)","CD103",0.0291826313626319,-0.07510695337715,0.104289584739782,-0.0433243568713938,-0.0337679592758737,"False","False","False"
"BC-to-CRLM (sens.)","CD103",0.574138293204118,-0.0137727611905753,0.587911054394694,0.436547092455375,-0.0415032817277589,"True","False","True"
"BC-to-DLBCL (partial)","CD103",-0.0958970576127548,-0.0142649117923925,-0.0816321458203623,-0.14153586625501,0.0135606149321424,"False","False","False"
"BC-to-DLBCL (partial)","CTLA4",NA,NA,NA,NA,NA,NA,NA,NA
"BC-to-DLBCL (partial)","CD14",NA,NA,NA,NA,NA,NA,NA,NA
"BC-to-DLBCL (partial)","PD-L1",NA,NA,NA,NA,NA,NA,NA,NA
"BTC-to-BC (partial)","HLA-DR",NA,NA,NA,NA,NA,NA,NA,NA
"BC-to-BTC (partial)","TIGIT",NA,NA,NA,NA,NA,NA,NA,NA
"BTC-to-BC (partial)","TIGIT",NA,NA,NA,NA,NA,NA,NA,NA
"BC-to-DLBCL (partial)","CD19",NA,NA,NA,NA,NA,NA,NA,NA
"BC-to-BTC (partial)","HLA-DR",NA,NA,NA,NA,NA,NA,NA,NA
"BC-to-NSCLC","HLA-DR",NA,NA,NA,NA,NA,NA,NA,NA
"BC-to-NSCLC","PD-L1",NA,NA,NA,NA,NA,NA,NA,NA
"BC-to-NSCLC","CD56",NA,NA,NA,NA,NA,NA,NA,NA
"BC-to-DLBCL (partial)","CD56",NA,NA,NA,NA,NA,NA,NA,NA
"BC-to-NSCLC","PD-1",NA,NA,NA,NA,NA,NA,NA,NA
"BC-to-DLBCL (partial)","HLA-DR",NA,NA,NA,NA,NA,NA,NA,NA
"BC-to-NSCLC","CD103",NA,NA,NA,NA,NA,NA,NA,NA
