replicate,source,target,analysis_role,null,spearman,noncognate_spearman,specificity_delta,r2,calibration_slope,sd_ratio,complete_gate_pass
136,GSE335494,CD314 (NKG2D),primary_direct,NullA,-0.0007133838027938997,-0.0020769026002656083,0.0013635187974717087,-0.20173704624176025,-0.003070676470562596,0.2601970791215101,False
136,GSE335494,CD314 (NKG2D),primary_direct,NullB,0.48204100795518123,-0.054292949267135654,0.5363339572223169,0.011227726936340332,1.5697271678780356,0.2601970791215101,True
136,GSE335494,CD3,sensitivity_non_direct,NullA,0.015970636239383523,-0.006421665794801316,0.02239230203418484,-0.61701500415802,0.01729593272162177,0.7469721462710229,False
136,GSE335494,CD3,sensitivity_non_direct,NullB,0.6812711204321633,-0.40650696629916105,1.0877780867313245,0.31287795305252075,0.8505821374282919,0.7469721462710229,True
136,GSE335494,CD45RO,sensitivity_non_direct,NullA,0.002433128310279442,-0.014666035963327072,0.017099164273606512,-3.340850353240967,0.012981900151243697,0.08477394841229689,False
136,GSE335494,CD45RO,sensitivity_non_direct,NullB,0.0040422203136221,-0.12499428654468368,0.12903650685830578,-3.3400754928588867,0.0668507267823534,0.08477394841229689,False
136,GSE335494,CD19,primary_direct,NullA,0.0045117666772406554,0.013067150673377976,-0.008555383996137322,-0.3080010414123535,0.01945140151306236,0.34985003459683406,False
136,GSE335494,CD19,primary_direct,NullB,0.2896239547333032,0.08410195241677952,0.20552200231652368,0.020313918590545654,1.3606611377963056,0.34985003459683406,True
136,GSE335494,CD123,primary_direct,NullA,0.0039643116833243935,-0.005969481071271921,0.009933792754596315,-0.9927041530609131,-0.014863773140699896,0.09041590562025198,False
136,GSE335494,CD123,primary_direct,NullB,0.20075383564326302,0.08781803379521738,0.11293580184804564,-0.9213982820510864,4.346321435117909,0.09041589757731294,False
136,GSE335494,CD11b,primary_direct,NullA,0.00330139691203613,0.0034891641104390805,-0.00018776719840295046,-3.492492198944092,0.006454834008561045,0.5224347486029345,False
136,GSE335494,CD11b,primary_direct,NullB,0.30630164018892525,-0.07061483867262873,0.376916478861554,-3.184566020965576,0.5705492647083746,0.5224347052257406,False
136,GSE335494,CD103 (Integrin αE),primary_direct,NullA,-0.00038269208526493776,0.004873262052992153,-0.005255954138257091,-0.37733960151672363,-0.7554687458891522,0.002425548459533557,False
136,GSE335494,CD103 (Integrin αE),primary_direct,NullB,0.010601411500761132,0.08481982254476518,-0.07421841104400405,-0.37738120555877686,-4.2854740017120445,0.002425548459533557,False
136,GSE335494,CD303 (BDCA-2),primary_direct,NullA,0.004223943488457107,-0.006213661255985706,0.010437604744442813,-1.6750266551971436,0.007647330288891172,0.326750291594595,False
136,GSE335494,CD303 (BDCA-2),primary_direct,NullB,0.10775688695233737,-0.022353154018709628,0.130110040971047,-1.5188617706298828,0.7389924658586424,0.326750291594595,False
136,GSE335494,CD1c,primary_direct,NullA,-0.0019303184914409761,-0.004363062080453046,0.0024327435890120703,-0.4995748996734619,0.010094467697389326,0.3783411217290743,False
136,GSE335494,CD1c,primary_direct,NullB,0.17394548331810905,-0.09881269009907324,0.2727581734171823,-0.25768494606018066,0.8550254450846299,0.37834115301063226,False
136,GSE335494,CD196 (CCR6),primary_direct,NullA,-0.00040659701479158736,-0.00441518214201738,0.004008585127225793,-0.7166265249252319,-0.058715664700641025,0.04270542512633148,False
136,GSE335494,CD196 (CCR6),primary_direct,NullB,0.22147255690694242,-0.017961407406290774,0.2394339643132332,-0.6982007026672363,4.99287018252532,0.04270542512633148,False
136,GSE335494,CD27,primary_direct,NullA,0.012749470728425756,-0.006667700853767677,0.019417171582193433,-0.775812029838562,0.035225390472017074,0.2657220289114974,False
